============================= test session starts =============================
platform win32 -- Python 3.11.8, pytest-9.0.2, pluggy-1.6.0 -- C:\Users\Nemo\AppData\Local\Programs\Python\Python311\python.exe
cachedir: .pytest_cache
rootdir: D:\Projet_streamlit\assistant_matanne
configfile: pytest.ini
plugins: anyio-4.12.1, asyncio-1.3.0, cov-7.0.0
asyncio: mode=Mode.STRICT, debug=False, asyncio_default_fixture_loop_scope=function, asyncio_default_test_loop_scope=function
collecting ... collected 370 items

tests/domains/maison/ui/test_depenses_comprehensive.py::TestGetDepensesMois::test_get_depenses_mois_success PASSED [  0%]
tests/domains/maison/ui/test_depenses_comprehensive.py::TestGetDepensesMois::test_get_depenses_mois_vide PASSED [  0%]
tests/domains/maison/ui/test_depenses_comprehensive.py::TestGetDepensesAnnee::test_get_depenses_annee_success PASSED [  0%]
tests/domains/maison/ui/test_depenses_comprehensive.py::TestGetDepenseById::test_get_depense_by_id_found PASSED [  1%]
tests/domains/maison/ui/test_depenses_comprehensive.py::TestGetDepenseById::test_get_depense_by_id_not_found PASSED [  1%]
tests/domains/maison/ui/test_depenses_comprehensive.py::TestCreateDepense::test_create_depense_success PASSED [  1%]
tests/domains/maison/ui/test_depenses_comprehensive.py::TestCreateDepense::test_create_depense_minimal PASSED [  1%]
tests/domains/maison/ui/test_depenses_comprehensive.py::TestUpdateDepense::test_update_depense_success PASSED [  2%]
tests/domains/maison/ui/test_depenses_comprehensive.py::TestUpdateDepense::test_update_depense_not_found PASSED [  2%]
tests/domains/maison/ui/test_depenses_comprehensive.py::TestDeleteDepense::test_delete_depense_success PASSED [  2%]
tests/domains/maison/ui/test_depenses_comprehensive.py::TestDeleteDepense::test_delete_depense_not_found PASSED [  2%]
tests/domains/maison/ui/test_depenses_comprehensive.py::TestGetStatsGlobales::test_get_stats_globales PASSED [  3%]
tests/domains/maison/ui/test_depenses_comprehensive.py::TestGetStatsGlobales::test_get_stats_globales_empty PASSED [  3%]
tests/domains/maison/ui/test_depenses_comprehensive.py::TestGetHistoriqueCategorie::test_get_historique_categorie PASSED [  3%]
tests/domains/maison/ui/test_depenses_comprehensive.py::TestGetHistoriqueCategorie::test_get_historique_categorie_12_mois PASSED [  4%]
tests/domains/maison/ui/test_depenses_comprehensive.py::TestRenderStatsDashboard::test_render_stats_dashboard PASSED [  4%]
tests/domains/maison/ui/test_depenses_comprehensive.py::TestRenderDepenseCard::test_render_depense_card PASSED [  4%]
tests/domains/maison/ui/test_depenses_comprehensive.py::TestRenderFormulaire::test_render_formulaire_nouveau PASSED [  4%]
tests/domains/maison/ui/test_depenses_comprehensive.py::TestRenderFormulaire::test_render_formulaire_edition PASSED [  5%]
tests/domains/maison/ui/test_depenses_comprehensive.py::TestRenderGraphiqueEvolution::test_render_graphique_evolution PASSED [  5%]
tests/domains/maison/ui/test_depenses_comprehensive.py::TestRenderComparaisonMois::test_render_comparaison_mois PASSED [  5%]
tests/domains/maison/ui/test_depenses_comprehensive.py::TestRenderOnglets::test_render_onglet_mois PASSED [  5%]
tests/domains/maison/ui/test_depenses_comprehensive.py::TestRenderOnglets::test_render_onglet_ajouter PASSED [  6%]
tests/domains/maison/ui/test_depenses_comprehensive.py::TestRenderOnglets::test_render_onglet_analyse PASSED [  6%]
tests/domains/maison/ui/test_depenses_comprehensive.py::TestAppFunction::test_app_main_entry PASSED [  6%]
tests/domains/maison/ui/test_depenses_comprehensive.py::TestEdgeCases::test_create_depense_montant_zero PASSED [  7%]
tests/domains/maison/ui/test_depenses_comprehensive.py::TestEdgeCases::test_create_depense_montant_negatif PASSED [  7%]
tests/domains/maison/ui/test_depenses_comprehensive.py::TestEdgeCases::test_get_historique_categorie_inconnue PASSED [  7%]
tests/domains/maison/ui/test_depenses_comprehensive.py::TestEdgeCases::test_depenses_date_future PASSED [  7%]
tests/services/test_barcode_coverage.py::TestBarcodeData::test_barcode_data_valid PASSED [  8%]
tests/services/test_barcode_coverage.py::TestBarcodeData::test_barcode_data_custom_values PASSED [  8%]
tests/services/test_barcode_coverage.py::TestBarcodeData::test_barcode_data_code_too_short PASSED [  8%]
tests/services/test_barcode_coverage.py::TestBarcodeArticle::test_barcode_article_defaults PASSED [  8%]
tests/services/test_barcode_coverage.py::TestBarcodeArticle::test_barcode_article_custom PASSED [  9%]
tests/services/test_barcode_coverage.py::TestBarcodeRecette::test_barcode_recette_basic PASSED [  9%]
tests/services/test_barcode_coverage.py::TestScanResultat::test_scan_resultat_article PASSED [  9%]
tests/services/test_barcode_coverage.py::TestScanResultat::test_scan_resultat_inconnu PASSED [ 10%]
tests/services/test_barcode_coverage.py::TestBarcodeValidation::test_valider_barcode_ean13_valid PASSED [ 10%]
tests/services/test_barcode_coverage.py::TestBarcodeValidation::test_valider_barcode_ean13_invalid_checksum PASSED [ 10%]
tests/services/test_barcode_coverage.py::TestBarcodeValidation::test_valider_barcode_ean8_valid PASSED [ 10%]
tests/services/test_barcode_coverage.py::TestBarcodeValidation::test_valider_barcode_ean8_invalid PASSED [ 11%]
tests/services/test_barcode_coverage.py::TestBarcodeValidation::test_valider_barcode_upc_valid PASSED [ 11%]
tests/services/test_barcode_coverage.py::TestBarcodeValidation::test_valider_barcode_upc_invalid PASSED [ 11%]
tests/services/test_barcode_coverage.py::TestBarcodeValidation::test_valider_barcode_qr PASSED [ 11%]
tests/services/test_barcode_coverage.py::TestBarcodeValidation::test_valider_barcode_code128 SKIPPED [ 12%]
tests/services/test_barcode_coverage.py::TestBarcodeValidation::test_valider_barcode_code39 PASSED [ 12%]
tests/services/test_barcode_coverage.py::TestBarcodeValidation::test_valider_barcode_unknown_format PASSED [ 12%]
tests/services/test_barcode_coverage.py::TestChecksumValidation::test_checksum_ean13_true PASSED [ 12%]
tests/services/test_barcode_coverage.py::TestChecksumValidation::test_checksum_ean13_false_wrong_length PASSED [ 13%]
tests/services/test_barcode_coverage.py::TestChecksumValidation::test_checksum_ean13_false_not_digits PASSED [ 13%]
tests/services/test_barcode_coverage.py::TestChecksumValidation::test_checksum_ean8_false_wrong_length PASSED [ 13%]
tests/services/test_barcode_coverage.py::TestChecksumValidation::test_checksum_ean8_false_not_digits PASSED [ 14%]
tests/services/test_barcode_coverage.py::TestChecksumValidation::test_checksum_upc_false_wrong_length PASSED [ 14%]
tests/services/test_barcode_coverage.py::TestChecksumValidation::test_checksum_upc_false_not_digits PASSED [ 14%]
tests/services/test_barcode_coverage.py::TestBarcodeServiceInit::test_service_init PASSED [ 14%]
tests/services/test_barcode_coverage.py::TestBarcodeServiceScan::test_scanner_code_invalid_barcode SKIPPED [ 15%]
tests/services/test_barcode_coverage.py::TestBarcodeServiceScan::test_scanner_code_article_found PASSED [ 15%]
tests/services/test_barcode_coverage.py::TestBarcodeServiceScan::test_scanner_code_not_found PASSED [ 15%]
tests/services/test_barcode_coverage.py::TestBarcodeServiceArticleOperations::test_ajouter_article_par_barcode_invalid_code SKIPPED [ 15%]
tests/services/test_barcode_coverage.py::TestBarcodeServiceArticleOperations::test_ajouter_article_par_barcode_exists PASSED [ 16%]
tests/services/test_barcode_coverage.py::TestBarcodeServiceArticleOperations::test_incrementer_stock_barcode_not_found PASSED [ 16%]
tests/services/test_barcode_coverage.py::TestBarcodeServiceArticleOperations::test_incrementer_stock_barcode_success SKIPPED [ 16%]
tests/services/test_barcode_coverage.py::TestBarcodeServiceStockVerification::test_verifier_stock_barcode_not_found PASSED [ 17%]
tests/services/test_barcode_coverage.py::TestBarcodeServiceStockVerification::test_verifier_stock_barcode_critique PASSED [ 17%]
tests/services/test_barcode_coverage.py::TestBarcodeServiceStockVerification::test_verifier_stock_barcode_faible PASSED [ 17%]
tests/services/test_barcode_coverage.py::TestBarcodeServiceStockVerification::test_verifier_stock_barcode_ok PASSED [ 17%]
tests/services/test_barcode_coverage.py::TestBarcodeServiceStockVerification::test_verifier_stock_barcode_peremption_urgent PASSED [ 18%]
tests/services/test_barcode_coverage.py::TestBarcodeServiceStockVerification::test_verifier_stock_barcode_perime PASSED [ 18%]
tests/services/test_barcode_coverage.py::TestBarcodeServiceStockVerification::test_verifier_stock_barcode_peremption_bientot PASSED [ 18%]
tests/services/test_barcode_coverage.py::TestBarcodeServiceMappings::test_mettre_a_jour_barcode_invalid_code SKIPPED [ 18%]
tests/services/test_barcode_coverage.py::TestBarcodeServiceMappings::test_mettre_a_jour_barcode_not_found PASSED [ 19%]
tests/services/test_barcode_coverage.py::TestBarcodeServiceMappings::test_mettre_a_jour_barcode_success SKIPPED [ 19%]
tests/services/test_barcode_coverage.py::TestBarcodeServiceMappings::test_lister_articles_avec_barcode PASSED [ 19%]
tests/services/test_barcode_coverage.py::TestBarcodeServiceExportImport::test_exporter_barcodes SKIPPED [ 20%]
tests/services/test_barcode_coverage.py::TestBarcodeServiceExportImport::test_importer_barcodes_success PASSED [ 20%]
tests/services/test_barcode_coverage.py::TestBarcodeServiceExportImport::test_importer_barcodes_with_error PASSED [ 20%]
tests/services/test_inventaire_sqlite_int.py::TestGetInventaireComplet::test_inventaire_vide PASSED [ 20%]
tests/services/test_inventaire_sqlite_int.py::TestGetInventaireComplet::test_inventaire_avec_articles PASSED [ 21%]
tests/services/test_inventaire_sqlite_int.py::TestGetInventaireComplet::test_filtrer_par_emplacement PASSED [ 21%]
tests/services/test_inventaire_sqlite_int.py::TestGetInventaireComplet::test_filtrer_par_categorie PASSED [ 21%]
tests/services/test_inventaire_sqlite_int.py::TestGetInventaireComplet::test_exclude_ok PASSED [ 21%]
tests/services/test_inventaire_sqlite_int.py::TestGetInventaireComplet::test_contient_champs_requis PASSED [ 22%]
tests/services/test_inventaire_sqlite_int.py::TestGetAlertes::test_alertes_structure PASSED [ 22%]
tests/services/test_inventaire_sqlite_int.py::TestGetAlertes::test_alertes_groupees_par_type PASSED [ 22%]
tests/services/test_inventaire_sqlite_int.py::TestAjouterArticle::test_ajouter_article_succes PASSED [ 22%]
tests/services/test_inventaire_sqlite_int.py::TestAjouterArticle::test_ajouter_article_ingredient_inexistant PASSED [ 23%]
tests/services/test_inventaire_sqlite_int.py::TestAjouterArticle::test_ajouter_article_deja_existant PASSED [ 23%]
tests/services/test_inventaire_sqlite_int.py::TestAjouterArticle::test_ajouter_article_avec_date_peremption PASSED [ 23%]
tests/services/test_inventaire_sqlite_int.py::TestMettreAJourArticle::test_maj_quantite PASSED [ 24%]
tests/services/test_inventaire_sqlite_int.py::TestMettreAJourArticle::test_maj_emplacement PASSED [ 24%]
tests/services/test_inventaire_sqlite_int.py::TestMettreAJourArticle::test_maj_date_peremption PASSED [ 24%]
tests/services/test_inventaire_sqlite_int.py::TestMettreAJourArticle::test_maj_article_inexistant PASSED [ 24%]
tests/services/test_inventaire_sqlite_int.py::TestMettreAJourArticle::test_maj_quantite_min PASSED [ 25%]
tests/services/test_inventaire_sqlite_int.py::TestSupprimerArticle::test_supprimer_article_succes PASSED [ 25%]
tests/services/test_inventaire_sqlite_int.py::TestSupprimerArticle::test_supprimer_article_inexistant PASSED [ 25%]
tests/services/test_inventaire_sqlite_int.py::TestStatistiques::test_get_statistiques_vide PASSED [ 25%]
tests/services/test_inventaire_sqlite_int.py::TestStatistiques::test_get_statistiques_avec_articles PASSED [ 26%]
tests/services/test_inventaire_sqlite_int.py::TestStatistiques::test_get_stats_par_categorie PASSED [ 26%]
tests/services/test_inventaire_sqlite_int.py::TestArticlesAPrelever::test_articles_a_prelever_vide PASSED [ 26%]
tests/services/test_inventaire_sqlite_int.py::TestArticlesAPrelever::test_articles_a_prelever_avec_peremption PASSED [ 27%]
tests/services/test_inventaire_sqlite_int.py::TestPhotos::test_ajouter_photo_article_inexistant PASSED [ 27%]
tests/services/test_inventaire_sqlite_int.py::TestPhotos::test_supprimer_photo_article_inexistant PASSED [ 27%]
tests/services/test_inventaire_sqlite_int.py::TestPhotos::test_obtenir_photo_article_inexistant PASSED [ 27%]
tests/services/test_inventaire_sqlite_int.py::TestPhotos::test_ajouter_photo_succes PASSED [ 28%]
tests/services/test_inventaire_sqlite_int.py::TestPhotos::test_supprimer_photo_succes PASSED [ 28%]
tests/services/test_inventaire_sqlite_int.py::TestPhotos::test_supprimer_photo_sans_photo PASSED [ 28%]
tests/services/test_inventaire_sqlite_int.py::TestNotifications::test_generer_notifications_alertes PASSED [ 28%]
tests/services/test_inventaire_sqlite_int.py::TestNotifications::test_obtenir_alertes_actives PASSED [ 29%]
tests/services/test_inventaire_sqlite_int.py::TestCalculerStatut::test_statut_ok_sans_peremption PASSED [ 29%]
